5.90,8
6.32,2
6.75,4
7.21,7
7.65,2
8.09,4
8.53,8
8.96,2
9.39,4
9.81,7
10.25,3
10.67,7
11.13,3
11.58,6
12.00,3
12.44,8
12.88,2
13.32,5
13.75,2
14.18,4
14.62,6
15.06,1
15.51,6
16.37,4
16.61,8
16.83,6
17.25,2
17.47,8
17.69,3
18.11,8
18.32,6
18.55,1
18.99,5
19.22,2
19.44,6
19.87,8
20.10,5
20.31,2
20.74,6
20.96,4
21.18,8
21.61,6
21.83,8
22.05,6
22.47,3
23.34,1
23.79,4
25.09,1
25.55,4
26.82,6
27.28,8
27.71,6
28.16,4
28.59,8
29.03,2
29.42,5
29.63,2
29.93,4
30.34,8
30.77,3
31.22,8
31.44,3
31.65,7
32.08,1
32.52,4
32.93,8
33.16,3
33.39,1
33.83,7
34.26,2
34.69,6
34.91,1
35.14,7
35.58,2
36.00,6
36.44,4
36.66,7
36.88,1
37.33,4
37.76,1
38.19,7
38.41,4
38.63,1
39.06,6
39.50,8
39.95,5
40.18,8
40.40,6
40.81,2
41.26,4
41.69,6
41.90,4
42.12,2
42.57,5
43.00,7
43.43,4
43.63,1
43.85,5
44.31,1
45.16,7
46.04,4
46.91,6
47.78,1
48.65,6
49.49,1
49.95,3
50.39,8
50.82,2
51.28,8
