5.92,7
6.36,4
6.77,6
7.23,3
7.66,6
8.09,8
8.53,2
8.95,4
9.36,2
9.59,8
9.83,3
10.27,7
10.49,1
10.71,6
11.14,2
11.35,4
11.58,6
12.03,2
12.24,4
12.45,1
12.90,4
13.12,7
13.34,1
13.75,4
13.96,7
14.20,4
14.63,8
14.83,3
15.07,7
15.50,5
15.71,3
15.94,6
16.37,1
16.59,7
16.81,4
17.25,2
17.46,6
17.69,4
18.11,2
18.33,5
18.55,2
19.00,7
19.22,3
19.43,6
19.87,3
20.09,6
20.30,2
20.74,8
20.95,4
21.17,7
21.61,5
21.82,8
22.04,6
22.48,3
23.34,7
23.79,1
23.93,3
24.25,1
25.11,3
25.57,8
25.72,4
26.01,2
26.85,7
27.30,3
27.45,6
27.75,1
28.17,5
28.58,2
28.82,8
29.04,5
29.26,3
29.48,5
29.69,2
29.90,4
30.33,8
30.78,2
31.22,5
31.43,2
31.67,7
32.08,4
32.52,7
32.95,3
33.17,1
33.39,6
33.84,3
34.29,7
34.70,1
34.91,6
35.13,8
35.59,3
36.02,7
36.46,4
36.66,8
36.88,3
37.32,1
37.78,5
38.21,1
38.44,6
38.64,4
39.08,1
39.50,7
39.93,1
40.15,5
40.38,1
40.80,6
41.25,2
41.69,7
41.91,2
42.12,7
42.56,3
43.00,6
43.43,3
43.63,5
43.86,1
44.31,3
44.74,7
45.18,4
45.61,7
46.05,1
46.26,4
46.49,7
46.93,3
47.37,5
47.80,1
48.01,5
48.24,7
48.67,5
49.10,7
49.54,3
49.75,6
49.97,3
50.19,7
50.41,2
50.62,5
50.85,7
51.07,3
51.29,5
